product_name,price_elasticity,pricing_recommendation,total_revenue
DOOR MAT MULTICOLOUR STRIPE,-13.018,Reduce Price (Highly Elastic),6278.18
CREAM SLICE FLANNEL PINK SPOT ,-12.974,Reduce Price (Highly Elastic),6276.900000000001
CACTI T-LIGHT CANDLES,-8.727,Reduce Price (Highly Elastic),6275.96
WATERING CAN PINK BUNNY,-3.456,Reduce Price (Highly Elastic),6261.049999999999
CAKE STAND LOVEBIRD 2 TIER WHITE,-1.274,Reduce Price (Highly Elastic),6249.95
WOODEN HEART CHRISTMAS SCANDINAVIAN,-3.51,Reduce Price (Highly Elastic),6235.08
CABIN BAG VINTAGE RETROSPOT,-1.733,Reduce Price (Highly Elastic),6216.55
LOVE SEAT ANTIQUE WHITE METAL,-1.603,Reduce Price (Highly Elastic),6210.0
SET/10 BLUE POLKADOT PARTY CANDLES,-132.684,Reduce Price (Highly Elastic),6204.87
CHRISTMAS METAL TAGS ASSORTED ,-3.276,Reduce Price (Highly Elastic),6183.3099999999995
TEA TIME TEAPOT IN GIFT BOX,0.626,Increase Price (Inelastic),6166.57
KINGS CHOICE GIANT TUBE MATCHES,-10.255,Reduce Price (Highly Elastic),6162.900000000001
VINTAGE DONKEY TAIL GAME ,5.024,Increase Price (Inelastic),6146.89
WHEELBARROW FOR CHILDREN ,-118.688,Reduce Price (Highly Elastic),6146.37
TEA TIME OVEN GLOVE,-4.0,Reduce Price (Highly Elastic),6110.37
CREAM SWEETHEART SHELF + HOOKS,3.767,Increase Price (Inelastic),6105.51
WHITE LOVEBIRD LANTERN,4.233,Increase Price (Inelastic),6090.700000000001
WATERING CAN BLUE ELEPHANT,-6.085,Reduce Price (Highly Elastic),6072.999999999999
PACK OF 6 SWEETIE GIFT BOXES,-19.587,Reduce Price (Highly Elastic),6071.26
JINGLE BELL HEART DECORATION,40.112,Increase Price (Inelastic),6069.15
RED RETROSPOT BOWL,-11.199,Reduce Price (Highly Elastic),6056.01
WHITE BEADED GARLAND STRING 20LIGHT,-90.09,Reduce Price (Highly Elastic),6055.8
PEARL CRYSTAL PUMPKIN T-LIGHT HLDR,-7.696,Reduce Price (Highly Elastic),6049.47
PINK FAIRY CAKE CHILD'S APRON,-45.079,Reduce Price (Highly Elastic),6036.21
TROPICAL  HONEYCOMB PAPER GARLAND ,-19.502,Reduce Price (Highly Elastic),6018.6
GREEN CHRISTMAS TREE CARD HOLDER,-5.456,Reduce Price (Highly Elastic),6008.02
PACK OF 20 SKULL PAPER NAPKINS,-58.24,Reduce Price (Highly Elastic),5997.74
ENAMEL WATERING CAN CREAM,-87.364,Reduce Price (Highly Elastic),5985.74
SET OF 60 PANTRY DESIGN CAKE CASES ,-15.327,Reduce Price (Highly Elastic),5982.09
CHARLIE + LOLA RED HOT WATER BOTTLE,-3.185,Reduce Price (Highly Elastic),5963.2
VICTORIAN SEWING KIT,-7.577,Reduce Price (Highly Elastic),5958.79
PACK OF 12 COLOURED PENCILS,-13.188,Reduce Price (Highly Elastic),5936.76
SET/10 BLUE SPOTTY PARTY CANDLES,-148.648,Reduce Price (Highly Elastic),5926.35
S/4 CACTI CANDLES,-4.632,Reduce Price (Highly Elastic),5924.67
PACK OF 12 RED SPOTTY TISSUES ,30.917,Increase Price (Inelastic),5923.09
SET OF 9 HEART SHAPED BALLOONS,-6.476,Reduce Price (Highly Elastic),5923.04
RETROSPOT PADDED SEAT CUSHION,-2.152,Reduce Price (Highly Elastic),5920.2699999999995
CHRISTMAS CRAFT WHITE FAIRY ,19.744,Increase Price (Inelastic),5898.539999999999
CHRISTMAS STAR WISH LIST CHALKBOARD,-0.867,Optimize / Monitor Price,5898.32
VANILLA SCENT CANDLE JEWELLED BOX,-9.867,Reduce Price (Highly Elastic),5895.34
RED RETROSPOT WRAP ,-24.841,Reduce Price (Highly Elastic),5893.24
PARTY CONE CHRISTMAS DECORATION ,-92.016,Reduce Price (Highly Elastic),5892.74
12 PENCIL SMALL TUBE WOODLAND,6.073,Increase Price (Inelastic),5883.15
ANT WHITE WIRE HEART SPIRAL,0.183,Increase Price (Inelastic),5865.06
SET 2 TEA TOWELS I LOVE LONDON ,-29.005,Reduce Price (Highly Elastic),5859.25
FUNKY WASHING UP GLOVES ASSORTED,-38.377,Reduce Price (Highly Elastic),5857.920000000001
BREAD BIN DINER STYLE MINT,-59.074,Reduce Price (Highly Elastic),5837.81
SLATE TILE NATURAL HANGING,-1.195,Reduce Price (Highly Elastic),5833.55
SMALL RED RETROSPOT WINDMILL,-6.035,Reduce Price (Highly Elastic),5821.82
VINTAGE UNION JACK APRON,-5.23,Reduce Price (Highly Elastic),5818.29
PANTRY WASHING UP BRUSH,-0.305,Optimize / Monitor Price,5795.86
BISCUIT TIN 50'S CHRISTMAS,21.68,Increase Price (Inelastic),5795.2
REGENCY TEA PLATE PINK,-0.126,Increase Price (Inelastic),5793.28
FINE WICKER HEART ,-60.003,Reduce Price (Highly Elastic),5791.19
GUMBALL MAGAZINE RACK,-7.678,Reduce Price (Highly Elastic),5786.54
GREEN 3 PIECE POLKADOT CUTLERY SET,-22.418,Reduce Price (Highly Elastic),5765.55
RETRO RED SPOTTY WASHING UP GLOVES,-123.203,Reduce Price (Highly Elastic),5749.56
BOTTLE BAG RETROSPOT ,-4.104,Reduce Price (Highly Elastic),5745.49
DOORMAT NEIGHBOURHOOD WITCH ,-0.283,Increase Price (Inelastic),5740.650000000001
WOODEN REGATTA BUNTING,-128.644,Reduce Price (Highly Elastic),5740.150000000001
SET 12 KIDS COLOUR  CHALK STICKS,-15.386,Reduce Price (Highly Elastic),5735.38
GINGHAM HEART DECORATION,-1.905,Reduce Price (Highly Elastic),5700.83
WHITE CHERRY LIGHTS,-1.263,Reduce Price (Highly Elastic),5687.5
SET OF 6 TEA TIME BAKING CASES,-135.997,Reduce Price (Highly Elastic),5687.15
GLASS STAR FROSTED T-LIGHT HOLDER,-5.264,Reduce Price (Highly Elastic),5681.1900000000005
SPACEBOY GIFT WRAP,-58.601,Reduce Price (Highly Elastic),5656.14
CHARLOTTE BAG APPLES DESIGN,-23.291,Reduce Price (Highly Elastic),5632.150000000001
OFFICE MUG WARMER BLACK+SILVER ,-3.542,Reduce Price (Highly Elastic),5630.05
BREAD BIN DINER STYLE PINK,-4.904,Reduce Price (Highly Elastic),5621.049999999999
CHRISTMAS PUDDING TRINKET POT ,-2.406,Reduce Price (Highly Elastic),5609.0199999999995
QUEENS GUARD COFFEE MUG,-10.257,Reduce Price (Highly Elastic),5603.570000000001
CERAMIC BOWL WITH STRAWBERRY DESIGN,-1.195,Reduce Price (Highly Elastic),5603.35
GLASS JAR DIGESTIVE BISCUITS,-9.056,Reduce Price (Highly Elastic),5583.1
ROUND CAKE TIN VINTAGE GREEN,-7.949,Reduce Price (Highly Elastic),5580.58
WOODLAND PARTY BAG + STICKER SET,-11.175,Reduce Price (Highly Elastic),5570.21
VINTAGE CHRISTMAS STOCKING ,-549.959,Reduce Price (Highly Elastic),5564.25
PACK OF 6 SKULL PAPER PLATES,-65.185,Reduce Price (Highly Elastic),5559.349999999999
RED RETROSPOT TEA CUP AND SAUCER ,-1.402,Reduce Price (Highly Elastic),5544.32
DINOSAUR LUNCH BOX WITH CUTLERY,-8.436,Reduce Price (Highly Elastic),5539.83
36 PENCILS TUBE RED RETROSPOT,-90.202,Reduce Price (Highly Elastic),5529.1900000000005
VINTAGE CHRISTMAS GIFT SACK,-130.908,Reduce Price (Highly Elastic),5527.150000000001
WALL MOUNTED VINTAGE ORGANISER,1.54,Increase Price (Inelastic),5507.739999999999
BAG 125g SWIRLY MARBLES,1.737,Increase Price (Inelastic),5505.13
TEA BAG PLATE RED SPOTTY ,-173.315,Reduce Price (Highly Elastic),5500.27
LARGE CAKE TOWEL PINK SPOTS,-3.662,Reduce Price (Highly Elastic),5487.2
METAL MERRY CHRISTMAS WREATH,-108.568,Reduce Price (Highly Elastic),5479.8
3 PIECE SPACEBOY COOKIE CUTTER SET,-2.478,Reduce Price (Highly Elastic),5477.740000000001
WRAP ENGLISH ROSE ,-45.245,Reduce Price (Highly Elastic),5477.4
COSY HOUR GIANT TUBE MATCHES,-331.667,Reduce Price (Highly Elastic),5462.55
ORGANISER WOOD ANTIQUE WHITE ,-93.37,Reduce Price (Highly Elastic),5451.3
EASTER CRAFT 4 CHICKS ,-153.868,Reduce Price (Highly Elastic),5449.8
WOODEN STAR CHRISTMAS SCANDINAVIAN,-2.82,Reduce Price (Highly Elastic),5432.169999999999
POPPY'S PLAYHOUSE LIVINGROOM ,-1.824,Reduce Price (Highly Elastic),5422.22
FAIRY CAKE BIRTHDAY CANDLE SET,-11.529,Reduce Price (Highly Elastic),5415.75
PARISIENNE JEWELLERY DRAWER ,-22.34,Reduce Price (Highly Elastic),5399.02
LARGE RED SPOT WINDMILL,-17.492,Reduce Price (Highly Elastic),5390.4
GROW YOUR OWN BASIL IN ENAMEL MUG,-52.51,Reduce Price (Highly Elastic),5379.3
SMALL ZINC HEART WALL ORGANISER,-9.381,Reduce Price (Highly Elastic),5378.8
RED RETROSPOT OVEN GLOVE ,-1.974,Reduce Price (Highly Elastic),5378.38
RED RETROSPOT PLATE ,-54.714,Reduce Price (Highly Elastic),5373.05
SKULL AND CROSSBONES  GARLAND ,-28.091,Reduce Price (Highly Elastic),5361.95
CLASSIC GLASS COOKIE JAR,-110.509,Reduce Price (Highly Elastic),5358.5
CHRISTMAS GINGHAM HEART,-54.922,Reduce Price (Highly Elastic),5347.96
LARGE CAKE STAND HANGING HEARTS,-1.217,Reduce Price (Highly Elastic),5313.0199999999995
SET OF 3 CASES WOODLAND DESIGN,-100.628,Reduce Price (Highly Elastic),5304.6
TOADSTOOL MONEY BOX,-51.77,Reduce Price (Highly Elastic),5289.750000000001
CORONA MEXICAN TRAY,-30.264,Reduce Price (Highly Elastic),5286.2
LOVE GARLAND PAINTED ZINC ,-4.819,Reduce Price (Highly Elastic),5274.05
GLASS CAKE COVER AND PLATE,13.252,Increase Price (Inelastic),5272.549999999999
CHILDREN'S APRON DOLLY GIRL ,-3.873,Reduce Price (Highly Elastic),5266.280000000001
SET OF 9 BLACK SKULL BALLOONS,-79.837,Reduce Price (Highly Elastic),5238.4
CREAM SWEETHEART EGG HOLDER,-5.048,Reduce Price (Highly Elastic),5232.4
EMBOSSED GLASS TEALIGHT HOLDER,-3.132,Reduce Price (Highly Elastic),5231.09
KEY CABINET MA CAMPAGNE,-84.117,Reduce Price (Highly Elastic),5228.889999999999
BUNDLE OF 3 ALPHABET EXERCISE BOOKS,17.843,Increase Price (Inelastic),5225.22
DOORMAT I LOVE LONDON,-7.094,Reduce Price (Highly Elastic),5207.76
FRENCH WC SIGN BLUE METAL,-2.818,Reduce Price (Highly Elastic),5206.36
ALPHABET STENCIL CRAFT,-9.448,Reduce Price (Highly Elastic),5204.51
SET OF THREE VINTAGE GIFT WRAPS,-108.262,Reduce Price (Highly Elastic),5204.099999999999
SKULL SHOULDER BAG,-17.062,Reduce Price (Highly Elastic),5198.6
ZINC WILLIE WINKIE  CANDLE STICK,7.475,Increase Price (Inelastic),5187.57
"KEY FOB , SHED",-3.871,Reduce Price (Highly Elastic),5187.24
SET OF 3 BABUSHKA STACKING TINS,-343.38,Reduce Price (Highly Elastic),5184.5
12 EGG HOUSE PAINTED WOOD,-13.321,Reduce Price (Highly Elastic),5176.67
SMALL HEART FLOWERS HOOK ,0.512,Increase Price (Inelastic),5168.86
6 CHOCOLATE LOVE HEART T-LIGHTS,-3.169,Reduce Price (Highly Elastic),5156.14
PACK 20 ENGLISH ROSE PAPER NAPKINS,-110.104,Reduce Price (Highly Elastic),5155.389999999999
RED SPOTTY BOWL,-72.729,Reduce Price (Highly Elastic),5147.12
LARGE IVORY HEART WALL ORGANISER,-20.488,Reduce Price (Highly Elastic),5142.91
RED GINGHAM TEDDY BEAR ,-9.522,Reduce Price (Highly Elastic),5133.780000000001
RETRO SPORT PARTY BAG + STICKER SET,16.432,Increase Price (Inelastic),5128.75
RIBBON REEL CHRISTMAS PRESENT ,6.259,Increase Price (Inelastic),5126.84
SET OF 5 LUCKY CAT MAGNETS ,-0.83,Optimize / Monitor Price,5121.4800000000005
SET/20 STRAWBERRY PAPER NAPKINS ,-9.092,Reduce Price (Highly Elastic),5120.719999999999
RED SPOTS  WRAP ,-131.033,Reduce Price (Highly Elastic),5115.5
RIBBON REEL CHRISTMAS SOCK BAUBLE,6.931,Increase Price (Inelastic),5109.99
CHILDRENS APRON APPLES DESIGN,-13.672,Reduce Price (Highly Elastic),5106.2
VINTAGE CREAM CAT FOOD CONTAINER,-7.02,Reduce Price (Highly Elastic),5103.139999999999
GLASS HONEYPOT WASP CATCHER,-149.493,Reduce Price (Highly Elastic),5100.45
60 CAKE CASES DOLLY GIRL DESIGN,-3.609,Reduce Price (Highly Elastic),5092.86
GROW YOUR OWN HERBS SET OF 3,-142.294,Reduce Price (Highly Elastic),5088.54
SWALLOWS GREETING CARD,-10.908,Reduce Price (Highly Elastic),5084.13
SMALL IVORY HEART WALL ORGANISER,-10.709,Reduce Price (Highly Elastic),5069.58
CHINESE DRAGON PAPER LANTERNS,0.158,Increase Price (Inelastic),5069.48
METAL SIGN HER DINNER IS SERVED ,-1.511,Reduce Price (Highly Elastic),5060.45
SET OF 3 BLACK FLYING DUCKS,-4.381,Reduce Price (Highly Elastic),5060.3
SET OF 6 NATIVITY MAGNETS ,17.009,Increase Price (Inelastic),5058.59
TREASURE ISLAND BOOK BOX,-102.766,Reduce Price (Highly Elastic),5036.55
GLAMOROUS  MUG,-1.695,Reduce Price (Highly Elastic),5029.25
"DIAMANTE HEART SHAPED WALL MIRROR, ",-4.111,Reduce Price (Highly Elastic),5020.41
RED SPOTTY PLATE ,-102.909,Reduce Price (Highly Elastic),5015.91
BISCUIT TIN VINTAGE RED,-22.494,Reduce Price (Highly Elastic),5013.05
DAIRY MAID TRADITIONAL TEAPOT ,-42.133,Reduce Price (Highly Elastic),5007.150000000001
12 PENCILS SMALL TUBE RED SPOTTY,-34.461,Reduce Price (Highly Elastic),5001.95
WOOLLY HAT SOCK GLOVE ADVENT STRING,-5.049,Reduce Price (Highly Elastic),5001.750000000001
SET OF 4 JAM JAR MAGNETS,10.922,Increase Price (Inelastic),4986.49
VINTAGE BILLBOARD TEA MUG,-22.838,Reduce Price (Highly Elastic),4973.150000000001
DOORMAT CHRISTMAS VILLAGE,-2.013,Reduce Price (Highly Elastic),4966.93
HEART DECORATION WITH PEARLS ,-1.407,Reduce Price (Highly Elastic),4956.67
SMALL HEART MEASURING SPOONS,2.234,Increase Price (Inelastic),4953.349999999999
LARGE RED RETROSPOT WINDMILL,-193.63,Reduce Price (Highly Elastic),4941.0
36 FOIL HEART CAKE CASES,0.169,Increase Price (Inelastic),4935.96
HEART DECORATION PAINTED ZINC ,-8.709,Reduce Price (Highly Elastic),4935.4
MAGIC DRAWING SLATE SPACEBOY ,-23.235,Reduce Price (Highly Elastic),4930.92
TABLECLOTH RED APPLES DESIGN ,-6.382,Reduce Price (Highly Elastic),4929.95
CHOCOLATE CALCULATOR,-6.986,Reduce Price (Highly Elastic),4928.93
RED STAR CARD HOLDER,-9.215,Reduce Price (Highly Elastic),4917.54
WALL TIDY RETROSPOT ,-5.786,Reduce Price (Highly Elastic),4898.96
BUBBLEGUM RING ASSORTED,-7.334,Reduce Price (Highly Elastic),4894.83
WATERING CAN GREEN DINOSAUR,-9.641,Reduce Price (Highly Elastic),4894.37
BIG DOUGHNUT FRIDGE MAGNETS,-66.566,Reduce Price (Highly Elastic),4893.08
CHARLIE+LOLA PINK HOT WATER BOTTLE,-2.085,Reduce Price (Highly Elastic),4889.81
SET 3 PAPER VINTAGE CHICK PAPER EGG,-293.712,Reduce Price (Highly Elastic),4881.150000000001
DOORMAT PEACE ON EARTH BLUE,-11.2,Reduce Price (Highly Elastic),4865.26
RED SPOTTY PEG BAG,-15.798,Reduce Price (Highly Elastic),4864.92
CHARLIE AND LOLA FIGURES TINS,-2.463,Reduce Price (Highly Elastic),4863.43
12 MESSAGE CARDS WITH ENVELOPES,-27.515,Reduce Price (Highly Elastic),4852.95
PACK OF SIX LED TEA LIGHTS,10.602,Increase Price (Inelastic),4849.01
MINI CAKE STAND WITH HANGING CAKES,-59.932,Reduce Price (Highly Elastic),4837.15
KASHMIR FOLKART TUMBLERS,-152.542,Reduce Price (Highly Elastic),4829.92
SET OF 3 WOODEN HEART DECORATIONS,5.856,Increase Price (Inelastic),4829.08
WHITE JEWELLED HEART DECORATION,5.317,Increase Price (Inelastic),4826.719999999999
FELTCRAFT GIRL AMELIE KIT,-1.1,Reduce Price (Highly Elastic),4824.13
RETROSPOT GIANT TUBE MATCHES,-29.682,Reduce Price (Highly Elastic),4823.25
RED RETROSPOT CHILDRENS UMBRELLA,3.375,Increase Price (Inelastic),4816.41
DOCTOR'S BAG SOFT TOY,-3.821,Reduce Price (Highly Elastic),4806.929999999999
PENS ASSORTED FUNNY FACE,-0.896,Optimize / Monitor Price,4802.42
REGENCY TEA STRAINER,-2.43,Reduce Price (Highly Elastic),4789.24
FANNY'S REST STOPMETAL SIGN,-63.685,Reduce Price (Highly Elastic),4779.3
PEACE WOODEN BLOCK LETTERS,-1.564,Reduce Price (Highly Elastic),4774.21
3 HOOK HANGER MAGIC GARDEN,-41.602,Reduce Price (Highly Elastic),4769.55
ASSORTED COLOUR T-LIGHT HOLDER,-1.387,Reduce Price (Highly Elastic),4767.9400000000005
GROW YOUR OWN FLOWERS SET OF 3,-2.249,Reduce Price (Highly Elastic),4741.11
BALLOON PUMP WITH 10 BALLOONS,-15.934,Reduce Price (Highly Elastic),4732.13
"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",-88.646,Reduce Price (Highly Elastic),4725.45
SEWING BOX RETROSPOT DESIGN ,-1.848,Reduce Price (Highly Elastic),4725.05
MAGNETS PACK OF 4 CHILDHOOD MEMORY,-37.642,Reduce Price (Highly Elastic),4724.84
CAMOUFLAGE DESIGN TEDDY,-29.965,Reduce Price (Highly Elastic),4720.05
RETRO SPOT LAMP,-14.777,Reduce Price (Highly Elastic),4718.9
RED RETROSPOT STORAGE JAR,-124.467,Reduce Price (Highly Elastic),4718.16
36 PENCILS TUBE SKULLS,-35.623,Reduce Price (Highly Elastic),4710.42
SAVE THE PLANET COTTON TOTE BAG,-40.867,Reduce Price (Highly Elastic),4709.25
PARTY CONES CANDY ASSORTED,-17.28,Reduce Price (Highly Elastic),4701.15
PINK DRAWER KNOB ACRYLIC EDWARDIAN,-7.5,Reduce Price (Highly Elastic),4696.91
RECYCLED ACAPULCO MAT TURQUOISE,-648.563,Reduce Price (Highly Elastic),4694.75
TRAVEL CARD WALLET KEEP CALM,-3.035,Reduce Price (Highly Elastic),4693.4
METAL SIGN EMPIRE TEA,-1.101,Reduce Price (Highly Elastic),4689.68
METAL SIGN NEIGHBOURHOOD WITCH ,-73.908,Reduce Price (Highly Elastic),4686.3
PINK OWL SOFT TOY,-20.286,Reduce Price (Highly Elastic),4681.68
SET OF 12 MINI LOAF BAKING CASES,-74.373,Reduce Price (Highly Elastic),4675.61
BROWN CHECK CAT DOORSTOP ,15.252,Increase Price (Inelastic),4670.0
TV DINNER TRAY DOLLY GIRL,-3.545,Reduce Price (Highly Elastic),4664.07
VINTAGE CHRISTMAS TABLECLOTH,-80.983,Reduce Price (Highly Elastic),4663.52
OWL DOORSTOP,-7.01,Reduce Price (Highly Elastic),4658.64
CHOCOLATE BOX RIBBONS ,-1.337,Reduce Price (Highly Elastic),4656.75
POTTING SHED TWINE,-33.067,Reduce Price (Highly Elastic),4655.88
SKULLS  WATER TRANSFER TATTOOS ,-27.741,Reduce Price (Highly Elastic),4645.4
MONSTERS STENCIL CRAFT,-9.036,Reduce Price (Highly Elastic),4644.29
ASSTD DESIGN BUBBLE GUM RING,-33.763,Reduce Price (Highly Elastic),4634.7
DOORMAT WELCOME SUNRISE,-9.223,Reduce Price (Highly Elastic),4625.65
LARGE CERAMIC TOP STORAGE JAR,8.984,Increase Price (Inelastic),4624.5
COFFEE MUG PINK PAISLEY DESIGN,-5.389,Reduce Price (Highly Elastic),4621.0
SET OF 5 PANCAKE DAY MAGNETS,-11.321,Reduce Price (Highly Elastic),4620.97
"HOOK, 5 HANGER , MAGIC TOADSTOOL",-92.656,Reduce Price (Highly Elastic),4589.25
BISCUIT TIN VINTAGE CHRISTMAS,13.542,Increase Price (Inelastic),4576.05
CITRONELLA CANDLE FLOWERPOT,-9.865,Reduce Price (Highly Elastic),4573.05
COFFEE MUG BLUE PAISLEY DESIGN,-6.029,Reduce Price (Highly Elastic),4572.41
DOOR MAT UNION JACK GUNS AND ROSES,-60.752,Reduce Price (Highly Elastic),4569.76
ILLUSTRATED CAT BOWL ,258.204,Increase Price (Inelastic),4568.91
CAKE PLATE LOVEBIRD WHITE,-5.138,Reduce Price (Highly Elastic),4561.95
SET OF 4 NAPKIN CHARMS CUTLERY,-17.379,Reduce Price (Highly Elastic),4538.11
CHRISTMAS GINGHAM STAR,7.252,Increase Price (Inelastic),4528.29
BLUE VINTAGE SPOT BEAKER,13.013,Increase Price (Inelastic),4528.29
ROCKING HORSE RED CHRISTMAS ,-68.467,Reduce Price (Highly Elastic),4527.4800000000005
VINTAGE BILLBOARD DRINK ME MUG,-18.665,Reduce Price (Highly Elastic),4523.96
PACK OF 6 HANDBAG GIFT BOXES,-304.403,Reduce Price (Highly Elastic),4519.35
WASH BAG VINTAGE ROSE PAISLEY,-28.426,Reduce Price (Highly Elastic),4497.450000000001
RED SPOTTY CHILDS APRON,-34.19,Reduce Price (Highly Elastic),4490.4
ENGLISH ROSE DESIGN PEG BAG,-63.326,Reduce Price (Highly Elastic),4489.28
CREAM SWEETHEART MAGAZINE RACK,-18.138,Reduce Price (Highly Elastic),4489.15
RED SPOTTY CHILDS UMBRELLA,-36.61,Reduce Price (Highly Elastic),4467.75
RETROSPOT LAMP,-132.419,Reduce Price (Highly Elastic),4467.6
TEA PARTY BIRTHDAY CARD,-0.743,Optimize / Monitor Price,4461.17
SET OF 12 ROSE BOTANICAL T-LIGHTS,-50.962,Reduce Price (Highly Elastic),4455.6
FRYING PAN RED POLKADOT ,-100.126,Reduce Price (Highly Elastic),4451.46
S/4 BLUE ROUND DECOUPAGE BOXES,-25.163,Reduce Price (Highly Elastic),4448.09
CIRCUS PARADE BABY GIFT SET,-24.02,Reduce Price (Highly Elastic),4444.75
GLASS HEART T-LIGHT HOLDER ,-5.757,Reduce Price (Highly Elastic),4444.389999999999
6 RIBBONS ELEGANT CHRISTMAS ,-2.197,Reduce Price (Highly Elastic),4437.9800000000005
36 PENCILS TUBE WOODLAND,-36.774,Reduce Price (Highly Elastic),4437.64
RED METAL BEACH SPADE ,-6.512,Reduce Price (Highly Elastic),4431.32
MILK PAN RED RETROSPOT,-0.795,Optimize / Monitor Price,4424.14
CAKE STAND LACE WHITE,-176.801,Reduce Price (Highly Elastic),4419.5
BIRD HOUSE HOT WATER BOTTLE,-4.136,Reduce Price (Highly Elastic),4412.51
FRENCH BATHROOM SIGN BLUE METAL,-14.992,Reduce Price (Highly Elastic),4409.07
FIVE HEART HANGING DECORATION,-9.678,Reduce Price (Highly Elastic),4399.150000000001
TOILET METAL SIGN,-9.47,Reduce Price (Highly Elastic),4394.62
GARLAND WOODEN HAPPY EASTER,-246.427,Reduce Price (Highly Elastic),4391.8099999999995
ENGLISH ROSE DESIGN QUILTED THROW,-4.87,Reduce Price (Highly Elastic),4391.1
PINK VINTAGE SPOT BEAKER,-18.654,Reduce Price (Highly Elastic),4384.83
BLUE PAPER PARASOL ,-74.431,Reduce Price (Highly Elastic),4382.3
ABC TREASURE BOOK BOX ,3.189,Increase Price (Inelastic),4377.76
ANTIQUE GLASS PEDESTAL BOWL,-2.557,Reduce Price (Highly Elastic),4374.6
STRAWBERRY RAFFIA FOOD COVER,-25.404,Reduce Price (Highly Elastic),4373.7
"FANCY FONT BIRTHDAY CARD, ",-57.21,Reduce Price (Highly Elastic),4351.8
PANTRY MAGNETIC  SHOPPING LIST,11.741,Increase Price (Inelastic),4346.99
AIRLINE BAG VINTAGE JET SET RED,-0.341,Optimize / Monitor Price,4337.09
SET OF 3 HANGING OWLS OLLIE BEAK,4.309,Increase Price (Inelastic),4327.42
PACK OF 12 SKULL TISSUES,-2.85,Reduce Price (Highly Elastic),4319.76
WOODLAND DESIGN  COTTON TOTE BAG,-33.487,Reduce Price (Highly Elastic),4315.5
COSY HOUR CIGAR BOX MATCHES ,9.408,Increase Price (Inelastic),4305.58
RED SPOTTY APRON ,-64.477,Reduce Price (Highly Elastic),4298.25
PINK  SPOTTY PLATE ,-73.823,Reduce Price (Highly Elastic),4296.66
PACK OF 20 NAPKINS RED APPLES,-8.998,Reduce Price (Highly Elastic),4288.09
PINK  HEART SHAPE LOVE BUCKET ,-2.041,Reduce Price (Highly Elastic),4281.72
PACK OF 6 SANDCASTLE FLAGS ASSORTED,-9.614,Reduce Price (Highly Elastic),4280.82
PINK POLKADOT BOWL,-5.482,Reduce Price (Highly Elastic),4271.400000000001
WOODLAND  HEIGHT CHART STICKERS ,-20.367,Reduce Price (Highly Elastic),4271.400000000001
SET 12 RETRO WHITE CHALK STICKS,-6.144,Reduce Price (Highly Elastic),4267.42
GREEN VINTAGE SPOT BEAKER,30.782,Increase Price (Inelastic),4261.89
GLASS JAR DAISY FRESH COTTON WOOL,-77.915,Reduce Price (Highly Elastic),4260.35
RED PAPER PARASOL,-14.774,Reduce Price (Highly Elastic),4255.79
BUTTON BOX ,-11.702,Reduce Price (Highly Elastic),4244.16
TEA BAG PLATE RED RETROSPOT,-11.298,Reduce Price (Highly Elastic),4239.19
VINTAGE UNION JACK SHOPPING BAG,-35.561,Reduce Price (Highly Elastic),4232.55
PICCADILLY TEA SET,-1.686,Reduce Price (Highly Elastic),4227.5
IVORY GIANT GARDEN THERMOMETER,-19.071,Reduce Price (Highly Elastic),4223.6
FAIRY CAKE DESIGN UMBRELLA,1.284,Increase Price (Inelastic),4209.42
PIG KEYRING WITH LIGHT & SOUND ,-2.017,Reduce Price (Highly Elastic),4208.94
HEART WOODEN CHRISTMAS DECORATION,10.514,Increase Price (Inelastic),4208.42
CHILDS APRON SPACEBOY DESIGN,-144.001,Reduce Price (Highly Elastic),4191.9
SMALL CERAMIC TOP STORAGE JAR ,-0.665,Optimize / Monitor Price,4184.18
SET 12 LAVENDER  BOTANICAL T-LIGHTS,-36.391,Reduce Price (Highly Elastic),4174.650000000001
DAIRY MAID LARGE MILK JUG,-39.397,Reduce Price (Highly Elastic),4170.75
VINTAGE BILLBOARD LOVE/HATE MUG,-6.505,Reduce Price (Highly Elastic),4165.45
EMPIRE UNION JACK TV DINNER TRAY,-5.114,Reduce Price (Highly Elastic),4143.82
SMALL RED RETROSPOT MUG IN BOX ,3.715,Increase Price (Inelastic),4142.26
KINGS CHOICE CIGAR BOX MATCHES ,-85.369,Reduce Price (Highly Elastic),4138.78
CHRISTMAS RETROSPOT ANGEL WOOD,2.055,Increase Price (Inelastic),4126.57
ENAMEL WASH BOWL CREAM,-16.425,Reduce Price (Highly Elastic),4122.05
ANTIQUE GLASS HEART DECORATION ,-305.538,Reduce Price (Highly Elastic),4100.25
TREASURE TIN GYMKHANA DESIGN,153.669,Increase Price (Inelastic),4099.52
GREY FLORAL FELTCRAFT SHOULDER BAG,-20.148,Reduce Price (Highly Elastic),4097.34
OVERNIGHT BAG VINTAGE ROSE PAISLEY,-125.507,Reduce Price (Highly Elastic),4077.25
TOAST ITS - I LOVE YOU ,-78.226,Reduce Price (Highly Elastic),4072.15
"TRAY, BREAKFAST IN BED",-5.547,Reduce Price (Highly Elastic),4066.6499999999996
